"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Cleopatra,Cleo,6,Mastiff
Dog,Birdie,Birdir,1,Mixed
Dog,Murphy,Murph,0.583,Golden Retriever
Dog,Ryder,Ryder,14,Mixed
Dog,Talani Snowmageddon ,Milo,0.375,Golden Retriever
Dog,Winnie the Blue,Winnie,0.916,Pit bull
Dog,Scarlett,Scarlett,0.25,Spaniel
Dog,Gus,Gus,11,Golden Retriever
Dog,Dixie Marie,Dixie,8,St. Bernard
Dog,Heidi,Heidi,2,St. Bernard
Dog,Phin,Phin,2,St. Bernard
Dog,Jager,Jager,12,Mixed
Dog,Brown Bear,Bear,7,n/a
Dog,Lucy,Lucy,4,Golden Retriever
Dog,Kahlua ,Chicky-chix,0.833,Mixed
Dog,Baylei,Stinky,1,Labrador
Dog,Baylei,Stinky,1,Labrador
Dog,Rocky,Rocky,5,Mixed
Dog,Abigail,Abby,4,Pit bull
Dog,Kira ,Kira/Squishy ,15,Beagle
Dog,Sammy,Sam,6,Mixed
Dog,Piper Marie,Piper,4,Newfoundland
Dog,Charlene ,Charlie,12,Mixed
Dog,Thor Mighty God of Thunder,Thor,9,Mixed
Dog,Cody Anne,Cody,2,Golden Retriever
Dog,Tessa,Tessa,11,German Shepherd
Dog,Lily,Lily,10,Mixed
Dog,Butters,Butter,9,Mixed
Dog,Marigold,Marigold,8,Mixed
Dog,Prince Romeo,Romey,8,Miniature Pinscher
Dog,"Snickers the First, Head Woofer",Snickers,6,Mixed
Dog,Lucky,Lucky,3,Lab/blue heeler/mixed breed
Dog,Ares,Ares,8,Olde English Bulldogge
Dog,Maximillian ,Max,13,Golden Retriever
Dog,Rogue,Rogue,6,Border collie/weimaraner/mixed breed
Dog,Ace,,1,Terrier
Dog,Ava,,4,Terrier
Dog,Winnifred,Winnie,6,Mixed
Dog,Mika,Mika,8,Mixed
Dog,Charlie Elizabeth Begonias ,Charlie,5,Mixed
Dog,Jack Ass,Jackie,5,Mixed
Dog,Dan,Digger,13,Pug
Dog,Koko,Koko,4,Bulldog
Dog,Archibald,Archie,2,Golden Retriever
Dog,Sassie,Sassie,19,Poodle
Dog,Zoe,Zoe,12,Shih Tzu/ poodle
Dog,Bo ,Bobes ,10,Mixed
Dog,Isiah Thomas,Izzy,0.25,Maine Coon
Dog,Sir Pete the Pup,Pete,12,Chihuahua 
Dog,Roux Stir,Roux,8,Mixed
Dog,Lucy Scramble ,Lucy,5,Boxer
Dog,June Bug,June Bug,10,Mixed
Dog,Crinkle,Crink-a-dink,7,Rhodesian Ridgeback 
Dog,Smokey,Spooky,14,Mixed
Dog,Daisy Mae,Daisy,3,Mixed
Dog,Crimson,Crimson,9,Mixed
Dog,Tide,Tide Dog,9,Mixed
Dog,Sophie,Sophie,10,Mixed
Dog,Sir Nigel Petrie of the Poofybottom Clan,Nigel,12,Pomeranian/terrier mix
Dog,Tobi,"Bobo, Tib Tob, Tibbi Bibbi, Corn Chip",10,Newfoundland/St. Bernard
Dog,Bruin ,Bru ,7,Golden Retriever
Dog,Lucinda Jean,Lucy,1,Golden Retriever
Dog,Dave,Dave,4.5,Golden Retriever
Dog,Harper Valley,Harper,0.25,Dachshund 
Dog,Buster Brown,Buster,11,Mixed
Dog,Leila ,Leila!!,5,Pointer 
Dog,Trixie,Trixie,3,Golden Retriever
Dog,Archer,Archibald ,9,Mixed
Dog,Josie Pancakes Fluffybottom,Josie,8,Heinz 57
Dog,Zeus,Zu,1.5,Great Dane 
Dog,Shooter,Shooter,8,Cattle Dog
Dog,Ellie,Elle,8,Labrador
Dog,Macie,Mace,8,Golden Retriever
Dog,Maddie,Bubbis,17,Shih Tzu
Dog,Squirt,Squirt,7,Bulldog
Dog,Samantha Marie,Sammie,8,Mixed
Dog,Quincy,Quincy,5,Mixed
Dog,Cajun ,Cajun ,6.5,Mixed
Dog,Duke,Dukie Doo,3,Pit bull
Dog,Daisy,Daisy Dee,3,Pit bull
Dog,Nico,Nico,4,Pug/Boston Terrier Mix
Dog,Chance McCoy ,Chance,10,Golden Retriever
Dog,Kobi,Kobi,11,Pit bull
Dog,Maila ,Maila Moose,1,Mastiff
Dog,Phineas,Phin,3,Labrador
Dog,Cody,Vody,20,Mixed
Dog,Perry,Perry,3,Labrador
Dog,Call it a night Sir Dudley,Dudley,5,Golden Retriever
Dog,Madison Brooke,Maddy,7,Mixed
Dog,Like Francis,Luke,8,Treeing Walker Coonhound
Dog,Pilikia,Pili,14,Chihuahua 
Dog,Mia Pieper,Mia,3,Black lab/ greyhound mix 
Dog,Pepper Potts,Pepper,6,Golden Retriever
Dog,Scruffy,Scruffy,Dead :(,Mixed
Dog,Princess Jessi,Jessi,7,n/a
Dog,Mowgli,,1,Labrador
Dog,,,2,Labrador
Dog,Wille,Willie,8,n/a
Dog,Otto,Otto,1.5,Doberman/Basset Hound
Dog,Optimus,Opti,7,Maltese
Dog,Memphis Mumford ,Memphis,2,Mastiff
Dog,Louie,Louie,6,Lab/bloodhound mix
Dog,Anna,Anna,5,n/a
Dog,Chester,Chester,13,Nova Scotia Duck Toller
Dog,Zeus Theodore,Zeus,7,Mixed
Dog,Ripley,Ripley,13,Golden Retriever
Dog,Beau,Beau,4,Mixed
Dog,Lucy,Lucy,9,Golden Retriever
Dog,Penelope ,Penny,3,Maltese
Dog,Callie,Cal,4,Golden Retriever
Dog,Jake,Stinky,2,Mixed
Dog,Willie,Willie,2.5,Mixed
Dog,package,package,1,Dalmatian
Dog,Luna,Luna,5,Yorkie 
Dog,Delilah,Lila,4,Labrador
Dog,Josephine ,Josie,4,Border Collie/Pit Mix 
Dog,Russell D.,Rusty,9,Mixed
Dog,Excalibur Insubordinate O’Mallie IX ,Cali ,2,Golden Retriever
Dog,Darth Vada Mae,Vada,7,Border collie/corgi
Dog,Butterscotch,Butter,9? 10???,Mixed
Dog,Emma Jean Jelly Bean,Emma,13,Shih Tzu
Dog,Rigby,Rigs,6,Terrier
Dog,Sir Scribbles Of the Shire,Nibbles,5,Shih Tzu/corgi 
Dog,Tele,Tele,11,Labrador
Dog,Maggie,Pooper,14,Dachshund 
Dog,Daisy Mae,Daisy,11,Golden Retriever
Dog,Bug,Bug,6,Terrier
Dog,Rayven,Ray,6,German Shepherd
Dog,puppy girl,Puppy,4,Terrier
Dog,beyoncé ,beyoncé ,2,Chihuahua 
Dog,Pippa Mad,Pippa,2,Bichon 
Dog,Tails Balboa,Tails ,14,Chihuahua 
Dog,Tara Balboa,Tara,6,Chihuahua 
Dog,Mia,Mimi,1,Chihuahua 
Dog,Slainte,Slainte,12,Mixed
Dog,Clyde Frog the Dog,Clyde ,3.75,Labrador
Dog,Asher,Ashie,9,Golden Retriever
Dog,Miley,Miley,13.5,Mixed
Dog,Suzie,Suzie,5,Labrador
Dog,Joshua,Joshie,9,Golden Retriever
Dog,Kona Kai,Kona,2,Mixed
Dog,Charlie,Charlie,11,Mixed
Dog,Lucky,Lucky,4,Mixed
Dog,Lily Ann ,Lily,3,Golden Retriever
Dog,Robbie,Robbie,10,Terrier
Dog,Chance ,Chance,4,Mixed
Dog,McGregor,Gregs,11,Terrier
Dog,Maggie,"Mags, maggals",6,Corgi
Dog,Boo Radley Beauregard ,Boo,5,Mixed
Dog,Jean Louise,Scout,2.5,Golden Retriever
Dog,Java Joe,Joe,0.145,Corgi
Dog,Heidi hoho,Heidi,7,Mixed
Dog,Finlay Heisenberg ,Finn,8,Shetland Sheepdog
Dog,Nala Belle,Nala,11,Golden Retriever
Dog,Matelin Paco Junior,Mate,9,Australian Shepherd
Dog,Eddie ,Eddie,8,Chihuahua 
Dog,Sir Thompson Squigglebutt,Tommy,7,Chihuahua 
Dog,Miss Kasey Bubbles ,Kasey,8,English Setter
Dog,Angel ,Angel,9,Golden Retriever
Dog,Loosie,Goose,15,Whippet
Dog,Sophie,Sophie,14,Whippet
Dog,Douglas,Douglas,10,Basset Hound
Dog,Zoi,Z,1,English Setter
Dog,Jasper,Jasper,14,Whippet
Dog,Rupert,Roo,3,Basset Hound
Dog,Spencer,Spence,10,Pointer 
Dog,Sir Clyde Bootsie Sideeye,Clyde ,11,Chihuahua 
Dog,Daisy Mae,Daisy,7,Mixed
Dog,Teddy Bear,Teddy,11,Chow chow/Australian Shepherd
Dog,Edward Gene ,Eddy,15,Golden Retriever
Dog,Peaches Monroe,Peaches,4,Terrier
Dog,Sir Nicholas,Nick,9,Corgi/jack russell 
Dog,Eowyn,Epi,13,Shih Tzu
Dog,Jayden,Denden,8,Shih Tzu
Dog,Joey,Jo,1,Golden Retriever
Dog,Walker Texas Ranger ,Wally,1,Mixed
Dog,Mike Mussina ,Moose,1,Mixed
Dog,Demon Deacon,Deke,13,Golden Retriever
Dog,benny the tiny von hudehoff,Benny,5,Terrier
Dog,Jacky,Jack,3,Golden Retriever
Dog,Gigi,Gigi,10,Golden Retriever
Dog,Liontamer’s Nelson M Mandela ,Nelson ,2,Rhodesian Ridgeback 
Dog,Toby,Toby,12,Golden Retriever
Dog,Sugar,Sugar,13,Mixed
Dog,Mackley,Mackey,4,Bulldog
Dog,Sugar,Sugar,5,Golden Retriever
Dog,Minnie,Minnie,10,Miniature Pinscher
Dog,Meeko letang,Bubby,3,Collie
Dog,Oddjob,Jobby,11,Beagle
Dog,Charleston Wesley,Charlie,1,Mixed
Dog,Shelby,Shelb ,3.5,Mixed
Dog,Barracuda ,Cuda ,0.25,Mixed
Dog,Daisy,Daisy,5,Mixed
Dog,Moose Van Haus Huenink,Moose,3,Rottweiler
Dog,Princess Bella Marie,Bella,11,Miniature Dachshund/Beagle mix
Dog,Geno Stoneycreek Pugh,Beans,2,Rottweiler
Dog,Sadie Mae,Sadie,6,German pointer
Dog,Ruby Sue,Ruby,3,Coonhound
Dog,Zoey,Zoey/zozo,8,Golden Retriever
Dog,Apollo,Apollo,10,Boxer
Dog,Petey,Pete,11,Mixed
Dog,Sadie Blue,Sadie,9,Mixed
Dog,Mira,Weetum,13.5,Greyhound
Dog,Ginger,Ginger,8-10,Mixed
Dog,Hairy Potter,Hairy,12,Terrier
Dog,Cricket,Crickita ,Deceaced 12  :(,Mixed
Dog,Xenia Marie,Xenia,8,German Shepherd
Dog,Daisy Mae,Daisy,12,Terrier
Dog,Skylar,Sky dog,15,Miniature American Shepherd
Dog,Maybus Dogstoevsky,Maybe,11,Treeing Walker Coonhound
Dog,Kahlua ,Kitty,7,Miniature American Shepherd
Dog,Maggie pie thatcher,Maggie,0.333,Blue lacy 
Dog,Ashildr,Ashy,1,Boxer
Dog,Elsa,Stinky,4/1/02,German Shepherd
Dog,Belle,Stinky,4/1/02,Golden Retriever
Dog,Zeus,Zeusy,8,Terrier
Dog,Molly,Miss Pants,6,Mixed
Dog,Chip,"Chippy, Chipper, Dumbo, or Chipper Dipper",13.5,Labrador
Dog,Chewustuffer Asshole,Chewy,2,Golden Retriever
Dog,Sailor Moon,Moon,4,Newfoundland
Dog,Navigator’s Sipsey River PrinceS,Sipsey,11,Mixed
Dog,Buddy,Bud,9,Border Collie
Dog,Brown Butter Biscuit,Biscuit,12,Mixed
Dog,Millie,Lil mil,13,Mixed
Dog,Jonah,Jonah,5,Lab/Collie
Dog,Diggs,Diggs,9,Cattle Dog
Dog,Herman,"Hermie, Herm-Derm, Herbie, Herm-Worm",14,Dachshund 
Dog,Datsyuk,Datsyuk,0.667,Mixed
Dog,Nightwing ,Nightwing,6,Lhasa Apso / Maltese 
Dog,Isabelle,Bella,5,German Shepherd/ Australian Shepherd
Dog,Princess Buttercup,Prince,4,Lhasa Apso / Maltese 
Dog,Sir Jake of Zoar,Jake,11,Labrador
Dog,Scout,Scout,6,Spaniel
Dog,Aluxe,Aluxe,14,Poodle
Dog,Brownie,Brownie ,11,Spaniel
Dog,Shelby May,Shelbs,6.1,Mixed
Dog,Mr. Henry Midas Darcy,Henry,7,Golden Retriever
Dog,Annie Reese,Annie,11,Husky/Corgi mix 
Dog,Blackjack,Blackjack,3,Mixed
Dog,Jaden,Jaden,null,8 years
Dog,Sophie,Soph,9,Golden Retriever
Dog,Petey,Petey,11,Golden Retriever
Dog,Jack,Jackson,11,Golden Retriever
Dog,Bella,Bell,8,Beagle
Dog,Starsky Buford,Starsky,7,Foxhound
Dog, Beatrice,Trixie,5,Mexican black-tailed prairie
Dog,Quito,Kiki,4,Lab/APBT/Great Dane/GSD/Australian Cattle Dog/Rottweiler (Embark confirmed)
Dog,Wiggins,Wiggs,3,Mixed
Dog,Bella,Jelly Belly,13,Weimaraner 
Dog,Maple,"Mapie, Mapes",5.5,Shiba Inu
Dog,Sara,Sara,7,Polish Tatra Sheepdog
Dog,Clementine,Clem,5.5,Coonhound
Dog,Ali May,Ali,12,Mixed
Dog,Aspen,Ass-pen,3,Coonhound
Dog,Amber,Amber,2,German pointer
Dog,Coquine,Ti-Chat,15,Maltese
Dog,Medley May ,Med head/big medley,8,Great Dane 
Dog,Maggie,Mag bag ,3,Great Dane 
Dog,Finn Jethro,Finn,7,Poodle
Dog,Tallulah Lilac,Lulah,4,Poodle
Dog,Bear,Bear,6,Mixed
Dog,Emily,Emily,7,Pit bull
Dog,Winifred Yankeestaff Arnone,Winnie,13,Mixed
Dog,Bella,Bella,9,Shih Tzu
Dog,Mocha Latte,Moch,2,Retriever/Pit bull 
Dog,Bentley Rockstaff Jardine Arnone,Bentley,0.833,Mixed
Dog,Freddie Mercury,Frappie,15,Miniature Schnauzer
Dog,Einstein Pancake,Einstein ,11,Shih Tzu/ poodle
Dog,Sir Eggs Benedict,Benny,2.5,Corgi
Dog,Bandit ,Ban ban,8,Siberian Husky
Dog,Mac,Mac,5,Border Collie
Dog,Shepherd E Stoltzfus,Shep,5,Border Collie
Dog,Cinnamon,Chinamon,4,Mixed
Dog,Rocky Ciroc,Ciroc,6,Bichon 
Dog,Jack,Jack,2,Dachshund 
Dog,Baldrick of Blackadder Bob,Bobo,14,Schnauzer 
Dog,Danny,Danny,Deceased,Mixed
Dog,Troy,Sweetie,9,Mixed
Dog,Lavender,Lav,8,Pit bull
Dog,Buddy,Mr. B,6,Golden Retriever
Dog,Chase,Chase,6,Boxer
Dog,Charlotte,Charlie,8,Border Collie
Dog,Ice,Ice,14,Shar Pei/Dachshund mix
Dog,Dolly,Dolly,0.625,Mixed
Dog,Geoffrey,Geoffrey ,1,Mixed
Dog,Holly ,Holly,8.5,Golden Retriever
Dog,coco pollybird,Coco,10,Spaniel
Dog,Tim,Tim,12,Beagle
Dog,Magui Josefina Primera Mercado,Moñoñito,16,Spaniel
Dog,Scooby,Scoob,Unknown,Spaniel
Dog,Balto José,Bartolo,6,n/a
Dog,Xena Badass McAwesome Princess Flufflepuffs of the Ashen Fields of Mordor,Xena,6,Golden Retriever
Dog,Wilbur,Wilby,6,Mixed
Dog,Rowena Ravenclaw,Puppy,3,Rhodesian Ridgeback 
Dog,Magnificent,Maggie,7,King Charles/papillon mix
Dog,Nova,Scoosh ,0.583,Spaniel
Dog,Penny,Penny,12,Terrier
Dog,Maisie taters ,Maisie,2,Mixed
Dog,Guinness ,Guinness ,9,Australian Shepherd
Dog,Johnny Bee,Johnny ,5,Mixed
Dog,Mayflower,May,12,Labrador
Dog,Roscoe,Roscoe,13,Beagle
Dog,Ashley,Ashley,5,Spaniel
Dog,Janis,Janis,7,n/a
Dog,Leonardo,Leo,7,Pekingese
Dog,Ceili Kibbles,Ceili (pronounced K-Lee),10,Golden Retriever
Dog,Charlie,Charlie,0.416,Bernese Mountain Dog
Dog,Mango,Mango,2,n/a
Dog,Rufus,Roofie,14,Golden Retriever
Dog,Daisy,Daze,0.333,Golden Retriever
Dog,Lily,Lils,13,Golden Retriever
Dog,Bertie,Bertie,0.333,Golden Retriever
Dog,Max,Bear,7,Akita
Dog,Molly,Moo,7,Beagle
Dog,Poppy,Poppy dog,2,Golden Retriever
Dog,Daisy,Daisy Dee,2,Golden Retriever
Dog,Koda,Koda,9,Golden Retriever
Dog,Elwood,Elwood,9,Golden Retriever
Dog,Jake,Jakey,9,Golden Retriever
Dog,Miles,Miles,8,Labrador
Dog,Indiana ,Indy,10,Spaniel
Dog,Maximus Harvey ,Max,2,Golden Retriever
Dog,Douglas Ray Richardson the Third ,Dougie,6,Cattle Dog
Dog,Harley,Gnarly,4,Pug
Dog,Buster,Busty ,14,Terrier
Dog,Alfie,Alfie Dude,14,Terrier
Dog,Mila,Mila,9,Mixed
Dog,Zero,Boydog,10,Rhodesian Ridgeback 
Dog,Bella Nina; Thomas James; Archie,Archie,7 4 0.333,German Shepherd x Border Collie; not sure; German Shepherd
Dog,Briggs,Briggy,10,Mixed
Dog,Mya (The Dog),My,13,Labrador
Dog,Neela,Neely ,8,Shih Tzu
Dog,Hank,Hankle ,2,Blue heeler/Australian shepherd
Dog,Button,Button,7,Mixed
Dog,Missy Princess,Missy,14,Spaniel
Dog,Prince,Prince,7,German shepherd/golden retriever
Dog,Samuel,Sam,8,Golden Retriever
Dog,Precious Fudge,Miss Pants,12,Chocolate lab/collie
Dog,truffles ,truffs ,11,Poodle
Dog,woodland ,Woody,4,Chihuahua 
Dog,Heath M&M,Mr. Peaf,8,Cattle Dog
Dog,Mosley,Mr. Mosley,6,Pit bull/Terrier
Dog,Peter,Mr. Peter,3,n/a
Dog,Sammy,Sammy,12,Mixed
Dog,Theodore Barkalot,Teddy,8,Bichon 
Dog,d'Artagnan,Dart,17,Pug
Dog,Celsius Pele Amadeus Cartier,Celsius,11,Mixed
Dog,Lando Calrisian,Lando,4,Labrador
Dog,Obi-Wan,Obi,2,Labrador
Dog,Titus Sirius Icarus Cartier,Titus,10,Labrador
Dog,Samuel T Dogg,Sam,8,Labrador
Dog,Oreo Ann,Oreo,11,n/a
Dog,Oliver,Ollie,7,n/a
Dog,Stamford,Stamford,10,Mixed
Dog,Bentley,Bentley,4,Labrador
Dog,Lulu,Lulu,10,Terrier
Dog,Ella,Elephant,8,Mixed
Dog,Roxy,Roxy,5,German Shepherd
Dog,Desmond,Dez,8,Labrador
Dog,Stella,Stella,9,Mixed
Dog,Sheena ,Beena,12,Golden Retriever
Dog,Perry the Poodle,Perry,2,Poodle
Dog,Cody the Corgi,Cody,3,Corgi
Dog,Ginevra Molly,Ginny,0.375,Golden Retriever
Dog,Riley,"Riley or Ri (pronounced RHY), but then there’s a bunch of nicknames like (Riley Roo, Roo, Ri Ri, Bud, Buddy, Bub, etc)",4,Siberian Husky
Dog,Cleopatra,Cleo,3,Greyhound
Dog,Coco,Coco,10,Corgi
Dog,Captain,Captain aka Cappie,14,Siberian Husky
Dog,Buddy,Buddy,8,Mixed
Dog,Magnolia Mae,Maggie,2,Corgi
Dog,Sam,Sammy,5,Border Collie
Dog,Zoey,Zo,4,Mixed
Dog,Chip,Chippers ,2,Golden Retriever
Dog,Snickers,Snick ,8,Labrador
Dog,Max,Max,12.5,Labrador
Dog,Leeloo,Leeloo,2,Mixed
Dog,Owen,Owen,13,Rhodesian Ridgeback 
Dog,Daisy Mae,Daisy,11,Golden Retriever
Dog,Sunshine,Sunny,4,Mixed
Dog,Freskin,Alicima Bouffants,13,Mixed
Dog,Philippa,Pippa,4,Terrier
Dog,Lillie (Lilian now that she’s older),Lillie,5,Boxer
Dog,"Dr. Wolf Barker, MD PhD DOG",Wolfie,7,Mixed
Dog,Toby,Tobias,10,Bichon 
Dog,Alice,Alicima Bouffants,11,Bichon 
Dog,Dee Dee ,Deedle Dumpling,10,Bichon 
Dog,Oliver,Oliver,12,Bichon 
Dog,Reuben,Reuben,12,Bichon 
Dog,Mowgli," Mowgli, Mr. Tude (when he's sassy)",3.5,Mixed
Dog,Toby,Toby,12,Mixed
Dog,Buddy,Buddy,11,Mixed
Dog,Bella Sitka LASTNAME,Bella,15,Miniature American Eskimo
Dog,Monty,Montgomery of Fitzgerald,8,Mixed
Dog,Luna Lastname,"Luna, Loon, Loonie, Miss Loon, Wiggles",0.75,Dachshund 
Dog,Echo Last Name,Echo,12,Miniature American Eskimo
Dog,Nuffin,Nuffin,6,Golden Retriever
Dog,Mars,Chano ,9,Corgi
Dog,Calhoun Richard Anderson du Nord,Cal,3.5,Golden Retriever
Dog,Charlie Brown,Charlie,10,Mixed
Dog,Bixby Lucas,Bixby,1,Labrador
Dog,Taco,"Taca Taca, snorticus",13,French Bulldog/Boston Terrier Mix
Dog,Belle,Jelly Belly,3,Mixed
Dog,Jimmy,Jimmy,3,Terrier
Dog,Miles,Miles,10,Redbone Coonhound
Dog,Eleanor Rose,Elle,5,Golden Retriever
Dog,Cooper Jay Nigel Winston,Cooper,8,Yorkie 
Dog,Buddy Augusto,Buddy,14,Spaniel
Dog,Dash,Dash,7,Mixed
Dog,Opie,Dope/ Opie,11,Golden Retriever
Dog,Georgia ,Georgie,3,n/a
Dog,Dino,Dino,30 (deceased at 13),Keeshond
Dog,Penny,Penny,10,Mixed
Dog,Alex’s Fiesty Girl Bailey Balogh,Bailey,10.5,Golden Retriever
Dog,Rey,Reymundo,2.5,Jack Russell/chihuahua 
Dog,Uwe,Uwe,4,Golden Retriever
Dog,Millie Betty,Mill,1.5,Dalmatian
Dog,Henry,Henny,1,Dalmatian
Dog,Daisy Mae,Daisy,13,Mixed
Dog,Chamomile June,Cammie,9,Spaniel
Dog,Chapman,Chapman,15,Labrador
Dog,Tucker,Tucker,0.75,Mini Australian Shepherd/Cockapoo
Dog,Chappelle,Mutt,7.9,Mixed
Dog,Bella,Bella,11,Greater Swiss Mountain Dog
Dog,Toby Wan Kenobi,Toby,1,Golden Retriever
Dog,Daisy,Daisy,12,Labrador
Dog,Beaucoup du Chien,Beau,Deceased,Newfoundland
Dog,Pumpkin,Pumpkin,Deceased,Labrador
Dog,Poquit,Poquit,Deceased,Labrador
Dog,Rosie,Rosie,9,Golden Retriever
Dog,Murphy,Murphy,10,Terrier
Dog,Giacomo Science,Giacomo,6,Bernese Mountain Dog
Dog,"Zuul, minion of Gozer",Zuul,5,Pit bull/Boxer mix
Dog,Trogdor Jealous,Dora,14,Mixed
Dog,Professor Tuxedo,Tux,1,Bernese Mountain Dog
Dog,Bodie,Bodie,8,Golden Retriever
Dog,Zoey,Zoey,5.5,Mixed
Dog,Joel Carlos,Joel,3,Mixed
Dog,Lola,Lola,1,Spaniel
Dog,Rufus,Rufus,15,Terrier
Dog,Sadie,Bubba,12,Golden Retriever
Dog,Zoey Deschanel,Zo,12,Bichon 
Dog,Cooper,Coop,6,Golden Retriever
Dog,Captain Goose,Goose,1,n/a
Dog,Mr Doctor Professor Constable Detective Brick,Brick,8,Bulldog
Dog,Ellie Sattler,Elle,1,Pit bull
Dog,Juke,Juke,4,Dachshund 
Dog,Blue,Blue,0.5,Labrador
Dog,Kiefer Bartholomew ,Kief ,9,Belgian Shepherd
Dog,Jackson,Jax,5,Mixed
Dog,Zeta bear,Bear,6,German Shepherd
Dog,Minnie,Minnie,2,Mixed
Dog,Dixie,Dixie,15,Mixed
Dog,Rosa Barks,Rosie,11,Shih Tzu
Dog,Charlie,Charlie,0.208,Mixed
Dog,Jack Dog,Jack,16,Mixed
Dog,Timon,Timon,3,Mixed
Dog,Leila Fowler-Martinez,Pippie or Pippo,7,n/a
Dog,Tubu,Tubu,11,Chihuahua 
Dog,Goodness Gracious,Gracy ,12,Shih Tzu
Dog,Monkey,Monkey,11,Australian Shepherd
Dog,Rosie,Rosie Posie,Dead :(,Golden Retriever
Dog,Scirocco Augustus,Rocco or Crocco,5,Treeing Walker Coonhound
Dog,Heavy Duty Puppy,Duty,4,Shetland Sheepdog
Dog,Siena Rosa,Siena,12,Golden Retriever
Dog,"Buttercup Maplesde, zuez Maplesden, Bella Maplesden, Hercules Maplesden",Bella,2.5 2.5 2 2 ,Unknown unknown Bali dog mix and tabby cat
Dog,Ghia Lynn,Ghia or Geeg,1,Border Collie/ Chinese shar pei
Dog,Delilah,Lilah,7,Beagle
Dog,Treacle,Treacle,10,Border collie/corgi
Dog,Sam,Sam,11,Labrador
Dog,Tyson,"Tysbert, T McT, Mucki, Muckelbert, Muckmuck, Maggey",14,Mixed
Dog,Parker,Parker,11,Mixed
Dog,Captain Avro Clarence,Avro,6,Schnauzer 
Dog,Carlene,Weentz,4,Mixed
Dog,Linda,Linda,10,Terrier
Dog,Toby Wooferton,Toby,18,Mixed
Dog,Sacha,Fjollehoved (Danish for goofball) ,13,Mixed
Dog,Snickers,Snicks,14,Mixed
Dog,Sherlock Bones,Sherlock,4,Mixed
Dog,Irene Adler,Addie,8,Bulldog
Dog,Wallace,Wally,2,Mixed
Dog,Dude,Handsome,2.5,Mixed
Dog,Bailey,Bailey,9,Golden Retriever
Dog,Willow,Sweetie,6,Mixed
Dog,Philistine Smoosh,Bill,14,Terrier
Dog,Henry Nacho ,Henny,8,Golden Retriever
Dog,Maximilian Kolby,Maxy ,16,Golden Retriever
Dog,Argos,Argos,6,Mixed
Dog,Madeline Grace ,Ma ma ,15,Golden Retriever
Dog,Elvis,Elvis,11,Mixed
Dog,Coconut Butter,Coco,5,Mixed
Dog,Lucy-fur,Lucy,12,Golden Retriever
Dog,Sophie Grace,Soph,13,Brindle Black
Dog,Prince,Prince,14,Mixed
Dog,Jackson Buttsickle,Jacks,4,Mixed
Dog,Lassie,Lass Lass,14,Moth Eaten Carpet
Dog,Charles Xavier II,Charlie,4,Great Pyrenees 
Dog,Caroline,Caroline,5,Mixed
Dog,Beau,"Goomby, Mr. Beauregard",4,Golden Retriever
Dog,Lindon,Lindy loo,10,Mixed
Dog,Tedward,Teddy,4,Mixed
Dog,Zuzu,Zu,4,Mixed
Dog,Marcus Brutus,Brutus,4,Boxer
Dog,Brownie Leigh,Brownie ,3,German Shepherd
Dog,Jersey Girl,Jersey ,11,Husky/malamute/sneaky neighbor's dog mix
Dog,Stella,Stells,10,Mixed
Dog,Lizzie,Lizzie Pie,6,Husky/sneaky neighbor's dog mix
Dog,Roxy,Roxy Socks,1,Mixed
Dog,Coco Murfree,Coco,9,Border Collie
Dog,Ozzy,Ozlet,1,Mini Australian Shepherd/Cockapoo
Dog,Winston Pigaloo,Winnie,6,Pug
Dog,Noodle,Noodle,13,Dachshund 
Dog,Phantom,Phantom ,5,Mixed
Dog,Ellen Park,Elle,3,n/a
Dog,Spud,Schmoops ,1.5,Corgi
Dog,FN 2187,Finn,1.5,Mixed
Dog,Pisco,Pisco,5,German pointer
Dog,Sadie,Sadie,3,German Shepherd
Dog,Lola,Loli Ravioli ,0.75,Golden Retriever
Dog,Addie Heart,Addie,8,Lab/Chow chow mix
Dog,Ernie,"Ernburn, Erndog, Ernieworm ",1,n/a
Dog,Semaj,"Sammich, Dumbledork",4,Shih Tzu
Dog,Maya,little shit,8,Shih Tzu
Dog,Bijou,Bijou,12,Terrier
Dog,Pesto,Pesto,0.75,Beagle
Dog,Maggie,Magz,Unknown,Mixed
Dog,Toby,Toby,1,Golden Retriever
Dog,Jacob Marley,Jake,6,Golden Retriever
Dog,Cujo,Bubby,11,Spaniel
Dog,Maizie,Maizie,0.333,Miniature Schnauzer
Dog,Bruce D4,Bruce,12,Dachshund 
Dog,Jackie Kate,Jackie,5,Lab/beagle mix
Dog,Daisy Bear,Daisy Dee,2.5,German Shepherd
Dog,Tinker Stinker,Stinks,2.5,German Shepherd
Dog,Mile High Ice Storm,Miles,7,Golden Retriever
Dog,Breezy Bear,Breezy,1,Golden Retriever
Dog,Nara,Gorda,3,Cattle Dog
Dog,"Wyatt Daniel, the Wild Corgo",Wyatt,2,Corgi
Dog,,Petra,null,Golden Retriever
Dog,Rosie,Rosie,10,Basset Hound
