"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Sylvia Plath,Sylvia,3,German pointer
Dog,Smokey Neyland,Smo ,9,Mixed
Dog,Rufus Tee Hilderbrec,Rufus,11,Shih Tzu
Dog,Baillie,B or B-Dog,7,Border Collie
Dog,Sebastian,Bash,0.333,Mixed
Dog,Tess,Tess,13,Border collie/corgi
Dog,Zorro,Z,8,Chihuahua 
Dog,Deacon ,Deac ,11,Chesapeake bay retriever 
Dog,Robert Ferguson Mooney,Bobby,6,Golden Retriever
Dog,James buchanan barnes,Bucky,2,n/a
Dog,Buddy Boy,Buddy,16,Spaniel
Dog,Belle Watling,Belle,2,Maltese
Dog,Magladon wagladon,Maggie,1,Old English sheepdog
Dog,Bella,Bella,14,n/a
Dog,Sophie,Sophie,11,Golden Retriever
Dog,Stewart Little,Stewie,16,Pomeranian
Dog,Sadie,Sadie,0.916,Golden Retriever
Dog,Ashley Wilkes,Ash,11,Mixed
Dog,Oliver Jospeh Andrew,Oliver,11-12 (deceased),Mixed
Dog,Rhett,Rhetters,12,Spaniel
Dog,Lily,Lil,5,Golden Retriever
Dog,Cookie,Monster,8,Shih Tzu
Dog,Brutus ,Brutus,10,Great white pyrenees/yellow lab
Dog,Ralph ,Ralph ,0.333,Golden Retriever
Dog,Kurt,Kurtis,2,Cur
Dog,Lyra Cristina,Lyra,0.75,Mixed
Dog,Bailey bear,Baby Girl,6,Mixed
Dog,Brooklyn,Brooklyn,2,Beagle
Dog,Champion Craig,Champ,14,Mixed
Dog,Lennox,Lenny,4,Shih Tzu
Dog,Sullivan Otis,Sulley ,10,Catahoula Leopard
Dog,Hank,Hanky panky,1,Cur
Dog,Allie Nichols,Allie,5,Mixed
Dog,Lila,Lila,5,Newfoundland
Dog,Liberty Louise,Libby,9,Spaniel
Dog,Jimmy,Sunshine,5,Shih Tzu
Dog,Rocky,Rocko,9,Rottweiler
Dog,Sheldon Michael ,Shel,7,Westin/Miniature Pinscher
Dog,Jackson,Pupper,3,Cattle Dog
Dog,Maxwell Amos,Max,10,Catahoula Leopard
Dog,Margaret Lewis,Maggie,11,Mixed
Dog,Ginger,Geeper Creeper,10,Mixed
Dog,Gator,Tate ,8,Rottweiler/Irish setter
Dog,Badger,Badger,12,Dachshund 
Dog,Beauregard,Beau,22,Golden Retriever
Dog,Buffy,Buffy and/or Buffalo,8,Beagle/Jack Russell
Dog,duque,duque,1,Mixed
